A
Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-01,139.5,141.35,138.06,140.89,140.89,1182851
2022-11-02,140.61,140.94,135.21,135.27,135.27,1806134
2022-11-03,133.77,135.865,130.66,134.46,134.46,1199461
2022-11-04,135.65,137.005,133.11,136.08,136.08,1272088
2022-11-07,136.85,138.08,135.56,138.03,138.03,1213652
2022-11-08,138.5,140.685,136.6,138.75,138.75,1028120
2022-11-09,138.31,139.42,136.66,137,137,971246
2022-11-10,142.87,146.72,142.53,146.3,146.3,1591960
2022-11-11,147.12,149.74,146.35,148.31,148.31,1227500
2022-11-14,149.01,149.71,146.3,146.38,146.38,1220300
2022-11-15,148.27,149.46,146.5,148,148,1299200
2022-11-16,148.19,148.75,146.35,147.12,147.12,1476700
2022-11-17,145.33,145.56,142.16,144.44,144.44,1465000
2022-11-18,146.68,147.96,144.15,146.19,146.19,1283400
2022-11-21,145.62,147.16,144.43,145.14,145.14,1689500

AA
Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-01,40.77,42.13,40.26,40.88,40.88,6356100
2022-11-02,40.71,41.14,37.77,37.77,37.77,5221800
2022-11-03,37.14,38.19,36.512,37.7,37.7,4407700
2022-11-04,41.54,43.52,40.8,42.4,42.4,11097600
2022-11-07,42.47,42.79,41,41.51,41.51,4790700
2022-11-08,42.18,43.385,41.46,43.23,43.23,4740200
2022-11-09,42.53,42.745,40.34,40.68,40.68,4181200
2022-11-10,42.81,45.49,42.81,43.83,43.83,8201900
2022-11-11,45.26,50.76,45.04,47.66,47.66,18064800
2022-11-14,46.55,49.05,46.4,48.22,48.22,6575000
2022-11-15,49.6,49.99,48.44,49.21,49.21,5395300
2022-11-16,47.65,48.83,46.24,48.67,48.67,7751300
2022-11-17,46.93,47.46,45.55,47.37,47.37,5688200
2022-11-18,48.18,48.57,46.72,47.31,47.31,3966100
2022-11-21,46.13,46.89,44.51,46.63,46.63,5060926

AAL
Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-01,14.44,14.54,14.1,14.11,14.11,25606900
2022-11-02,14,14.27,13.55,13.58,13.58,34816100
2022-11-03,13.36,13.87,13.2,13.73,13.73,25312300
2022-11-04,14.06,14.4,13.86,14.11,14.11,28222600
2022-11-07,14.32,14.39,13.86,14.32,14.32,23797300
2022-11-08,14.29,14.45,14.08,14.25,14.25,25415700
2022-11-09,14.12,14.34,13.97,13.98,13.98,21047200
2022-11-10,14.46,14.99,14.36,14.93,14.93,35599100
2022-11-11,15,15.08,14.72,14.88,14.88,24121000
2022-11-14,14.79,15.03,14.55,14.68,14.68,26266600
2022-11-15,15.02,15.18,14.53,14.61,14.61,29423100
2022-11-16,14.45,14.47,14.01,14.09,14.09,28858000
2022-11-17,13.82,14.02,13.68,13.95,13.95,24041700
2022-11-18,14.26,14.58,13.92,14.05,14.05,25869100
2022-11-21,14.02,14.27,13.8,13.85,13.85,25708378

AAN
Date,Open,High,Low,Close,Adjusted_close,Volume
